trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
142,142_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,212.000000000000000000000000000000,5000,0.006977818610036821619924118920
143,143_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,13.000000000000000000000000000000,1,0.089317078643166736284797480039
144,144_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,98.000000000000000000000000000000,2705,0.001000000000000000020816681712
145,145_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,109.000000000000000000000000000000,3224,0.001000000000000000020816681712
146,146_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,48.000000000000000000000000000000,2418,0.058060808414249792663852645092
147,147_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,45.000000000000000000000000000000,2380,0.012945595812351466322165371992
148,148_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,42.000000000000000000000000000000,2514,0.166892590241448229848586493063
149,149_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,42.000000000000000000000000000000,2584,0.120496455686139952723223700559
150,150_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,30.000000000000000000000000000000,2289,0.106037283505450705134443012412
151,151_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,139.000000000000000000000000000000,3382,0.001000000000000000020816681712
152,152_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,2405,0.998999999999999999111821580300
153,153_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,46.000000000000000000000000000000,2639,0.299379371506176605866045292714
154,154_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,3565,0.998999999999999999111821580300
155,155_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,28.000000000000000000000000000000,1469,0.998999999999999999111821580300
156,156_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,173.000000000000000000000000000000,5000,0.040943586924298128182364564509
157,157_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,174.000000000000000000000000000000,5000,0.029637394215988554363461204844
