trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
1149,1149_0,FAILED,BOTORCH_MODULAR,,,5000,4874,4.621843618342885484651105798548,15,0.998999999999999999111821580300
1150,1150_0,COMPLETED,BOTORCH_MODULAR,0.460000000000000019984014443253,64.000000000000000000000000000000,1474,2809,0.001000000000000000020816681712,14,0.001000000000000000020816681712
1151,1151_0,FAILED,BOTORCH_MODULAR,,,4250,4981,5.652681659355879517647736065555,16,0.958652209654524245507900559460
1152,1152_0,FAILED,BOTORCH_MODULAR,,,4316,4827,5.431041245584633081477932137204,13,0.998999999999999999111821580300
1153,1153_0,FAILED,BOTORCH_MODULAR,,,4475,4456,6.100182748656396647390920406906,9,0.540491704752157242630516975623
1154,1154_0,RUNNING,BOTORCH_MODULAR,,,3766,3187,10.000000000000000000000000000000,13,0.001000000000000000020816681712
1155,1155_0,FAILED,BOTORCH_MODULAR,,,1738,3902,10.000000000000000000000000000000,19,0.998999999999999999111821580300
1156,1156_0,FAILED,BOTORCH_MODULAR,,,4358,4440,8.393629999464920388163591269404,18,0.350163067069797329100566685156
1157,1157_0,FAILED,BOTORCH_MODULAR,,,2757,2579,9.723950431584976072940662561450,14,0.290537690688050243004170170025
1158,1158_0,FAILED,BOTORCH_MODULAR,,,2832,4818,9.958019442864474157772747275885,15,0.998999999999999999111821580300
1159,1159_0,FAILED,BOTORCH_MODULAR,,,657,2333,10.000000000000000000000000000000,20,0.501191137651205709246937658463
1160,1160_0,COMPLETED,BOTORCH_MODULAR,0.359999999999999986677323704498,19.000000000000000000000000000000,2904,4885,0.001000000000000000020816681712,9,0.001000000000000000020816681712
1161,1161_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,573.000000000000000000000000000000,5000,669,0.001000000000000000020816681712,9,0.998999999999999999111821580300
1162,1162_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,77.000000000000000000000000000000,3371,507,0.001000000000000000020816681712,2,0.998999999999999999111821580300
1163,1163_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,79.000000000000000000000000000000,4937,875,0.001000000000000000020816681712,7,0.420487464682792355663565331270
1164,1164_0,RUNNING,BOTORCH_MODULAR,,,911,5000,10.000000000000000000000000000000,20,0.998999999999999999111821580300
1165,1165_0,RUNNING,BOTORCH_MODULAR,,,4645,2883,10.000000000000000000000000000000,14,0.304284157754795780981282860012
1166,1166_0,COMPLETED,BOTORCH_MODULAR,0.520000000000000017763568394003,61.000000000000000000000000000000,4692,1833,0.001000000000000000020816681712,12,0.371823155448333053652021362723
1167,1167_0,RUNNING,BOTORCH_MODULAR,,,4275,4115,0.587903204213483188134148349491,20,0.998999999999999999111821580300
1168,1168_0,FAILED,BOTORCH_MODULAR,,,4861,4999,4.194958190921648011340039374772,18,0.001000000000000000020816681712
1169,1169_0,FAILED,BOTORCH_MODULAR,,,1426,4709,7.573367412538092757756658102153,18,0.275721103128561351169878435030
1170,1170_0,FAILED,BOTORCH_MODULAR,,,3321,4836,5.084353275098949076493681786815,12,0.998999999999999999111821580300
1171,1171_0,FAILED,BOTORCH_MODULAR,,,4367,4035,10.000000000000000000000000000000,19,0.001000000000000000020816681712
1172,1172_0,FAILED,BOTORCH_MODULAR,,,4619,4061,10.000000000000000000000000000000,20,0.001000000000000000020816681712
1173,1173_0,FAILED,BOTORCH_MODULAR,,,1380,4788,8.882966605591800401953150867485,18,0.998999999999999999111821580300
1174,1174_0,FAILED,BOTORCH_MODULAR,,,4345,2553,5.212463037801239984503354207845,17,0.001000000000000000020816681712
