trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
582,582_0,FAILED,SOBOL,,,1550,0.658938959406688784525840674178,0.544654205117374612399316902156,1761,1024,1239
583,583_0,RUNNING,SOBOL,,,3660,0.380764940267428741993427365742,0.189804962573572988393522109618,3783,3908,4496
584,584_0,RUNNING,SOBOL,,,4627,0.829681616565212554093022845336,0.851897378189489296040903809626,1039,3229,2762
585,585_0,RUNNING,SOBOL,,,486,0.115005498053506016731262207031,0.380582436162978432481196477966,3413,1742,1644
586,586_0,RUNNING,SOBOL,,,387,0.858957800261676340802807771979,0.736116938840597923032760263595,2464,4806,4553
587,587_0,RUNNING,SOBOL,,,4531,0.085744533333927397400486825063,0.030408202325925233477921239000,4485,205,945
588,588_0,RUNNING,SOBOL,,,3448,0.625839087236672586556096575805,0.927386236151680365402683037246,337,2017,1779
589,589_0,FAILED,SOBOL,,,1334,0.413880061157047729469837804572,0.339118288096040498835748167039,2709,3034,2546
590,590_0,RUNNING,SOBOL,,,2370,0.534951002225279803603541495249,0.220223453452810635777581182992,3723,3536,3959
591,591_0,RUNNING,SOBOL,,,2763,0.255740215148776761644455746136,0.512210391309112278435122789233,725,1435,390
592,592_0,RUNNING,SOBOL,,,4276,0.954707295309752179690576667781,0.410513607483357190197637009987,4093,707,2359
593,593_0,RUNNING,SOBOL,,,915,0.238992497891187677394597699276,0.819940854197368063083217748499,1446,4225,3164
594,594_0,FAILED,SOBOL,,,1090,0.719968189727514973341726545186,0.473104694833978989265688142041,1157,459,3125
595,595_0,RUNNING,SOBOL,,,3828,0.444500936359167098110845017800,0.757355432834476260950395953842,3139,4593,1382
596,596_0,RUNNING,SOBOL,,,2900,0.765960846886038826397680168157,0.157571393530815839767456054688,1644,2625,898
597,597_0,RUNNING,SOBOL,,,1881,0.053991494145244359192936656200,0.574856666272506089399030315690,4056,2388,4780
598,598_0,RUNNING,SOBOL,,,1824,0.923107498038560181363720857917,0.990032512973993972238417882181,4913,1649,3679
599,599_0,RUNNING,SOBOL,,,3309,0.145842317469418059072694404676,0.276466226315125795931493257740,1876,3283,1975
600,600_0,RUNNING,SOBOL,,,4979,0.565727022878825702711935718980,0.673531515618786214005808687943,2903,3854,281
601,601_0,RUNNING,SOBOL,,,213,0.349714187059551484537678334164,0.092999291535466904745632632512,295,1116,4202
602,602_0,RUNNING,SOBOL,,,207,0.921146454699337535743097760133,0.694300583086907896479544888280,1217,575,2540
603,603_0,RUNNING,SOBOL,,,4975,0.147810974944382916840268649139,0.043109062204137446605578531944,3239,4395,1783
604,604_0,RUNNING,SOBOL,,,3305,0.563651890192180871075322556862,0.877772057348862322356808363111,1589,2740,939
605,605_0,RUNNING,SOBOL,,,1818,0.351812162153422813837266858172,0.359615067489445217052690395576,3963,2191,4557
606,606_0,RUNNING,SOBOL,,,1878,0.721776827663183184746742426796,0.209532736564055077632673373955,4981,1846,3158
607,607_0,RUNNING,SOBOL,,,2894,0.442684684287756702314453605140,0.556158708788454525517863658024,1983,3166,2362
608,608_0,RUNNING,SOBOL,,,3821,0.767883819546550494550274379435,0.392026963643729686737060546875,2850,4050,384
609,609_0,FAILED,SOBOL,,,1086,0.052045679077506068477276812700,0.871687002161517732190532115055,204,1001,3963
610,610_0,RUNNING,SOBOL,,,909,0.533028479423373946488595720439,0.454677064264193186993168183108,2410,4924,4784
611,611_0,RUNNING,SOBOL,,,4272,0.257685580357909227444679345354,0.809038760460913164429541666323,4392,8,892
612,612_0,RUNNING,SOBOL,,,2759,0.952899099797010373791295023693,0.146943489544093613963227085151,397,2132,1386
