trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
503,503_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,47.000000000000000000000000000000,900,111,10,0.998999999999999999111821580300
504,504_0,FAILED,BoTorch,GenerationStep_1,,,2921,1,10,0.001000000000000000020816681712
505,505_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,30.000000000000000000000000000000,871,183,10,0.998999999999999999111821580300
506,506_0,FAILED,BoTorch,GenerationStep_1,,,1490,1,10,0.001000000000000000020816681712
507,507_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,111.000000000000000000000000000000,3550,86,10,0.998999999999999999111821580300
508,508_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,425.000000000000000000000000000000,1594,22,10,0.998999999999999999111821580300
509,509_0,FAILED,BoTorch,GenerationStep_1,,,2704,1,1,0.001000000000000000020816681712
510,510_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,39.000000000000000000000000000000,1946,499,9,0.600903835535049446470168277301
511,511_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,138.000000000000000000000000000000,3638,3074,3,0.117377283677458768562651414413
512,512_0,COMPLETED,Sobol,SOBOL,0.699999999999999955591079014994,22.000000000000000000000000000000,4397,1532,6,0.974376896262168834539352246793
513,513_0,COMPLETED,Sobol,SOBOL,0.670000000000000039968028886506,125.000000000000000000000000000000,1108,3958,5,0.490606575878337003437934527028
514,514_0,COMPLETED,Sobol,SOBOL,0.670000000000000039968028886506,27.000000000000000000000000000000,100,2119,1,0.310093053933232998264912794184
515,515_0,COMPLETED,Sobol,SOBOL,0.650000000000000022204460492503,181.000000000000000000000000000000,4312,4545,10,0.794109824335202607592520962498
516,516_0,COMPLETED,Sobol,SOBOL,0.689999999999999946709294817992,70.000000000000000000000000000000,2649,1163,4,0.184292599698528652973905650470
517,517_0,COMPLETED,Sobol,SOBOL,0.650000000000000022204460492503,213.000000000000000000000000000000,1840,3738,8,0.668553143274039030075073242188
518,518_0,COMPLETED,Sobol,SOBOL,0.689999999999999946709294817992,20.000000000000000000000000000000,1296,1809,3,0.828223079230636316516722672532
519,519_0,COMPLETED,Sobol,SOBOL,0.689999999999999946709294817992,52.000000000000000000000000000000,3047,4224,7,0.313022599166259185565763800696
520,520_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,54.000000000000000000000000000000,3767,223,1,0.704615615060552924475700820039
521,521_0,COMPLETED,Sobol,SOBOL,0.699999999999999955591079014994,61.000000000000000000000000000000,498,2807,10,0.189171365540474645250412777386
522,522_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,137.000000000000000000000000000000,720,810,6,0.011154389696195723263860699603
523,523_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,138.000000000000000000000000000000,4952,3394,5,0.525872260704636551587043413747
524,524_0,COMPLETED,Sobol,SOBOL,0.689999999999999946709294817992,74.000000000000000000000000000000,3250,2473,8,0.386332895070314430441271724703
525,525_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,5.000000000000000000000000000000,2500,4889,2,0.901294542970135781345675241027
526,526_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,27.000000000000000000000000000000,2319,2260,7,0.138348091352730989678221362738
527,527_0,COMPLETED,Sobol,SOBOL,0.650000000000000022204460492503,59.000000000000000000000000000000,3419,4833,3,0.652091518430039318587887464673
528,528_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,31.000000000000000000000000000000,4769,709,9,0.263996974838897613402366459923
529,529_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,13.000000000000000000000000000000,890,3137,1,0.777983937148004733863615456357
530,530_0,FAILED,BoTorch,BOTORCH_MODULAR,,,805,1,1,0.001000000000000000020816681712
531,531_0,FAILED,BoTorch,BOTORCH_MODULAR,,,698,1,10,0.001000000000000000020816681712
532,532_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.739999999999999991118215802999,76.000000000000000000000000000000,3026,154,10,0.001000000000000000020816681712
533,533_0,FAILED,BoTorch,BOTORCH_MODULAR,,,815,1,1,0.001000000000000000020816681712
534,534_0,FAILED,BoTorch,BOTORCH_MODULAR,,,656,1,10,0.001000000000000000020816681712
535,535_0,FAILED,BoTorch,BOTORCH_MODULAR,,,857,1,1,0.001000000000000000020816681712
536,536_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3851,1,1,0.176602735061269361382940701333
537,537_0,FAILED,BoTorch,BOTORCH_MODULAR,,,850,1,10,0.001000000000000000020816681712
538,538_0,FAILED,BoTorch,BOTORCH_MODULAR,,,571,1,1,0.001000000000000000020816681712
539,539_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3665,1,10,0.001000000000000000020816681712
540,540_0,FAILED,BoTorch,BOTORCH_MODULAR,,,718,1,1,0.001000000000000000020816681712
541,541_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3796,1,1,0.001000000000000000020816681712
542,542_0,FAILED,BoTorch,BOTORCH_MODULAR,,,764,1,1,0.001000000000000000020816681712
543,543_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3565,1,10,0.336181504862831381785781559302
544,544_0,FAILED,BoTorch,BOTORCH_MODULAR,,,670,1,1,0.001000000000000000020816681712
