trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
1755,1755_0,RUNNING,SOBOL,,,1738,0.210603725356981158478575366644,0.786668461252003958783518555720,1852,1049,1660
1756,1756_0,RUNNING,SOBOL,,,2259,0.567532122360542401473537665879,0.663046364594250925428298160114,2043,1485,917
1757,1757_0,RUNNING,SOBOL,,,4016,0.076457245171070095657306353587,0.318739456238225082884696348628,4126,1900,3140
1758,1758_0,RUNNING,SOBOL,,,3179,0.866952337928116323340077542525,0.914920100225135701776935093221,792,3021,4486
1759,1759_0,RUNNING,SOBOL,,,558,0.360287999266758585115155710810,0.072108049347996708289265654912,2874,801,2109
1760,1760_0,RUNNING,SOBOL,,,445,0.825134169727563815399662416894,0.503849954081699302754770997126,1335,2531,3291
1761,1761_0,RUNNING,SOBOL,,,3301,0.318464120464399480514572360335,0.471479075923562029881708212997,4998,1305,745
1762,1762_0,RUNNING,SOBOL,,,3904,0.609474050009623180557127852808,0.762180597651749835996781712311,85,129,1938
1763,1763_0,RUNNING,SOBOL,,,2381,0.118401076354086393083164807649,0.231304342748597263623722142256,3750,3269,4638
1764,1764_0,RUNNING,SOBOL,,,1615,0.728238702636212154040151744994,0.356875777127221238682608372983,2690,2833,2959
