trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
19,19_0,COMPLETED,Sobol,0.296098649300530647465734546131,369,0.723707222659140780862685460306,0.765740038361400365829467773438
20,20_0,COMPLETED,BoTorch,0.252332368547998120433817348385,50,0.723144175337181227547489470453,0.663116372411854060331393156957
21,21_0,COMPLETED,BoTorch,0.254984322238302030250167717895,50,0.652135686940745307182965007087,0.780094687355876725831649309839
22,22_0,COMPLETED,BoTorch,0.252901591895803190546132555028,50,1.000000000000000000000000000000,0.673941589985301181542354242993
23,23_0,COMPLETED,BoTorch,0.259183550410033713973234625882,50,1.000000000000000000000000000000,0.800000000000000044408920985006
24,24_0,COMPLETED,BoTorch,0.251995899662325162360332342359,50,0.508534901607298861492267860740,0.670272325599055696088157674239
25,25_0,COMPLETED,BoTorch,0.252467438494934914849920915003,50,0.824338589032663437983217136207,0.595549766455523044150766054372
26,26_0,COMPLETED,BoTorch,0.251361553304389806484664404707,50,1.000000000000000000000000000000,0.516929498217924332514883190015
27,27_0,COMPLETED,BoTorch,0.253181379643029447201740822493,50,0.343906433180010628891665191986,0.791493297315619903642414101341
28,28_0,COMPLETED,BoTorch,0.253942354076218013148036334314,50,0.604146941036584061990311056434,0.726047030443378926811703877320
29,29_0,COMPLETED,BoTorch,0.256833092136999563415145075851,50,1.000000000000000000000000000000,0.753681629929233709574987187807
